study,pubmed.id,country,authors,title,publication,doi,email,year,Study,UniqueStudy,Etiology,lingual,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,Handedness,MRI Machine,Coils,MRI Tesla,Flip Angle,Repitition Time(ms),Echo Time (ms),Inversion Time (ms) ,NumberExcitations(NEX),AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,FWHM,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,SummaryLeaning,MeanControl,SDControl,MeanHL,SDHL,Z score,F test,t-value,P-value,ClusterSize,DoubleChecked,References,ScopusCitations
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,right,volume,WM,,,decrease,0.5662,0.2724,,636,168,542,164,,,,0.053,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,right,ratio GM/WM,GM/WM,,,increase,1.4263,0.5806,,2.35,0.41,3.05,0.56,,,,0.0001,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,right,GM+WM,GM+WM,,,increase,0.0369,0.0184,,2120,565,2140,519,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,asymmetry,asymmetry,WM,rightward,leftward ,increase,0.1324,0.0661,increased leftward leaning,-0.007,0.29,0.018,0.258,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,asymmetry,asymmetry,WM,rightward,rightward,increase,0.3599,0.1771,increased rightward leaning,-0.12,0.182,-0.208,0.171,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,asymmetry,asymmetry,WM,rightward,rightward,decrease,0.0391,0.0195,decreased rightward leaning,-0.003,0.121,-0.002,0.099,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,asymmetry,asymmetry,GM,leftward,leftward ,increase,0.091,0.0454,increased leftward leaning,0.158,0.265,0.159,0.213,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,asymmetry,asymmetry,GM,leftward,leftward ,decrease,0.7822,0.3642,decreased leftward leaning,0.149,0.173,0.05,0.137,,,,0.05,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,asymmetry,asymmetry,GM,leftward,rightward,increase,0.0241,0.012,increase rightward leaning,0.001,0.077,-0.001,0.064,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,PT,left,volume,GM,,,increase,0.368,0.1809,,3059,1083,3479,1197,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,PT,right,volume,GM,,,increase,0.2604,0.1291,,2336,748,2816,754,,,,0.028,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,PT,asymmetry,asymmetry,GM,,,decrease,0.2389,0.1186,,0.252,0.342,0.186,0.189,,,,,,y,y,y
Allen et al. J Neurosci,19005055,USA,"Allen JS, Emmorey K, Bruss J, Damasio H.",Morphology of the insula in relation to hearing status and sign language experience.,J Neurosci. 2008 Nov 12;28(46):11900-5.,https://doi.org/10.1523/JNEUROSCI.3141-08.2008,kemmorey@mail.sdsu.edu,2008,2,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,insular cortex,insula,left,volume,GM,,,increase,0.5828,0.2798,,7762,1095,8426,1182,,,,,,y,y,y
Allen et al. J Neurosci,19005055,USA,"Allen JS, Emmorey K, Bruss J, Damasio H.",Morphology of the insula in relation to hearing status and sign language experience.,J Neurosci. 2008 Nov 12;28(46):11900-5.,https://doi.org/10.1523/JNEUROSCI.3141-08.2008,kemmorey@mail.sdsu.edu,2008,2,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,insular cortex,insula,left,volume,WM,,,decrease,0.0302,0.0151,,697,254,690,208,,,,,,y,y,y
Allen et al. J Neurosci,19005055,USA,"Allen JS, Emmorey K, Bruss J, Damasio H.",Morphology of the insula in relation to hearing status and sign language experience.,J Neurosci. 2008 Nov 12;28(46):11900-5.,https://doi.org/10.1523/JNEUROSCI.3141-08.2008,kemmorey@mail.sdsu.edu,2008,2,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,insular cortex,insula,right,volume,GM,,,increase,0.2283,0.1134,,7762,1046,7998,1021,,,,,,y,y,y
