Checked-RK,Checked-FAM,study,year,Study,UniqueStudy,Etiology,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,MRI Tesla,AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,right,volume,GM,,,increase,0.2793,0.1383,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,right,volume,WM,,,decrease,0.5662,0.2724,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,right,ratio GM/WM,GM/WM,,,increase,1.4263,0.5806,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,right,GM+WM,GM+WM,,,increase,0.0369,0.0184,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,asymmetry,asymmetry,WM,rightward,leftward ,increase,0.1324,0.0661,increased leftward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,asymmetry,asymmetry,WM,rightward,rightward,increase,0.3599,0.1771,increased rightward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,asymmetry,asymmetry,WM,rightward,rightward,decrease,0.0391,0.0195,decreased rightward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,asymmetry,asymmetry,GM,leftward,leftward ,increase,0.091,0.0454,increased leftward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,asymmetry,asymmetry,GM,leftward,leftward ,decrease,0.7822,0.3642,decreased leftward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,asymmetry,asymmetry,GM,leftward,rightward,increase,0.0241,0.012,increase rightward leaning
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,PT,left,volume,GM,,,increase,0.368,0.1809,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,PT,right,volume,GM,,,increase,0.2604,0.1291,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,PT,asymmetry,asymmetry,GM,,,decrease,0.2389,0.1186,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,left,volume,GM,,,increase,0.5828,0.2798,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,left,volume,WM,,,decrease,0.0302,0.0151,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,right,volume,GM,,,increase,0.2283,0.1134,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,right,volume,WM,,,increase,0.8195,0.3792,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,left,volume,GM,,,increase,0.3808,0.1871,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,left,volume,WM,,,decrease,0.1977,0.0984,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,right,volume,GM,,,increase,0.3134,0.1548,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,right,volume,WM,,,increase,0.5305,0.2564,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,left,volume,GM,,,increase,0.725,0.3408,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,left,volume,WM,,,increase,0.2521,0.1251,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,right,volume,GM,,,increase,0.0081,0.0041,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,right,volume,WM,,,increase,0.8974,0.4094,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,left,Vol proportion,GM,,,increase,0.6061,0.29,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,left,Vol proportion,GM,,,increase,0.276,0.1367,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,left,Vol proportion,GM,,,increase,0.7819,0.3641,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,right,Vol proportion,GM,,,same,0,0,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,right,Vol proportion,GM,,,increase,0.1062,0.053,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,right,Vol proportion,GM,,,decrease,0.1661,0.0828,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,left,Vol proportion,WM,,,same,0,0,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,left,Vol proportion,WM,,,decrease,0.056,0.028,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,left,Vol proportion,WM,,,same,0,0,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,right,Vol proportion,WM,,,increase,1.0909,0.4789,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,right,Vol proportion,WM,,,increase,0.7442,0.3487,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,right,Vol proportion,WM,,,increase,0.9864,0.4423,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,left,ratio GM/WM,GM/WM,,,increase,0.1672,0.0833,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,left,ratio GM/WM,GM/WM,,,increase,0.2613,0.1296,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,left,ratio GM/WM,GM/WM,,,decrease,0.3251,0.1605,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,right,ratio GM/WM,GM/WM,,,decrease,0.8927,0.4076,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,right,ratio GM/WM,GM/WM,,,decrease,0.632,0.3013,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,right,ratio GM/WM,GM/WM,,,decrease,1.0977,0.4811,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,asymmetry,asymmetry,GM,,,increase,1.3192,0.5506,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,asymmetry,asymmetry,GM,,,increase,0.2151,0.1069,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,asymmetry,asymmetry,GM,,,increase,0.074,0.037,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,insula,asymmetry,asymmetry,WM,,,increase,0.8406,0.3874,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,anterior insula,asymmetry,asymmetry,WM,,,increase,1.0022,0.448,
,,Allen et al. J Neurosci,2008,2,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,insular cortex,posterior insula,asymmetry,asymmetry,WM,,,increase,0.0909,0.0454,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA17,occipital,calcarine sulcus,left,volume,GM+WM,,,increase,0.6948,0.3282,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA17,occipital,calcarine sulcus,right,volume,GM+WM,,,increase,0.5731,0.2755,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA17,occipital,calcarine sulcus,asymmetry,asymmetry,GM+WM,rightward,rightward,decrease,0.0517,0.0258,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA44,IFG,pars opercularis,left,volume,GM+WM,,,increase,0.2498,0.1239,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA44,IFG,pars opercularis,right,volume,GM+WM,,,increase,0.8062,0.3739,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA44,IFG,pars opercularis,asymmetry,asymmetry,GM+WM,rightward,leftward ,increase,0.373,0.1833,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA45,IFG,pars triangularis,left,volume,GM+WM,,,increase,0.6506,0.3093,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA45,IFG,pars triangularis,right,volume,GM+WM,,,increase,0.9128,0.4152,
,,Allen et al. Front Neuroanat,2013,3,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,BA45,IFG,pars triangularis,asymmetry,asymmetry,GM+WM,rightward,rightward,increase,0.5751,0.0287,increased rightward leaning
